is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
1,1,1,75,0,0,0,80,0.0133,0,0,0,1,0,1,0,0,0,1,1,0
1,14,3,244,0,0,2,49,0.0574,0,0,1,0,1,1,1,1,1,1,0,0
1,17,3,195,0,0,1,80,0.0872,0,0,0,1,0,1,0,0,0,1,1,0
0,18,3,231,0,0,2,77,0.0779,0,0,0,1,0,1,0,0,0,1,1,0
0,5,2,201,0,0,1,27,0.0249,0,0,0,1,0,1,0,0,0,1,1,0
0,1,1,223,0,0,0,11,0.0045,0,0,0,1,0,1,0,0,0,1,1,0
0,7,3,222,0,0,1,60,0.0315,0,0,0,1,0,1,0,0,0,1,1,0
1,2,1,602,0,0,0,126,0.0033,0,0,0,1,0,1,0,0,1,1,0,0
1,34,11,757,0,0,7,265,0.0449,1,0,1,0,1,0,0,1,1,1,1,0
1,58,10,750,0,2,6,635,0.0773,1,0,0,1,0,1,0,0,0,1,1,0
1,7,2,411,0,0,1,0,0.017,0,0,0,1,0,1,0,0,0,1,1,0
1,17,3,443,0,0,2,164,0.0384,0,0,0,1,0,1,0,0,0,1,1,0
1,3,2,449,0,0,1,129,0.0067,0,0,0,1,0,1,0,0,0,1,1,0
1,3,2,449,0,0,1,107,0.0067,0,0,0,1,0,1,0,0,0,1,1,0
1,30,5,729,0,2,3,253,0.0412,0,0,0,1,0,1,0,0,0,1,1,0
1,2,2,425,0,0,0,51,0.0047,0,0,1,0,1,1,1,1,1,1,0,0
1,48,5,743,0,0,4,227,0.0646,0,0,0,1,0,1,0,0,0,1,1,0
1,5,4,607,0,0,3,26,0.0082,0,0,1,0,1,1,1,1,1,1,0,0
1,4,3,607,0,0,2,129,0.0066,0,0,0,1,0,1,0,0,0,1,1,0
1,6,3,558,0,0,2,23,0.0108,0,0,0,1,0,1,0,0,0,1,1,0
1,1,1,607,0,0,0,52,0.0016,0,0,0,1,0,1,0,0,0,1,1,0
1,12,4,607,0,1,3,403,0.0198,0,0,0,1,0,1,0,0,0,1,1,0
1,1,1,607,0,0,0,49,0.0016,0,0,1,0,1,1,1,1,1,1,1,1
